Epoch,Generator_Loss,Discriminator_Loss,Discriminator_Accuracy
444,3.2269578,0.6886828,0.86880714
445,3.2347004,0.37461305,0.936845
446,3.7374058,0.43980077,0.92390555
447,4.8055544,0.40156838,0.9336712
448,5.567482,0.4801454,0.9136814
449,3.5956576,0.43736857,0.9183677
450,3.2917242,0.38451052,0.9290027
451,3.7822273,0.2641601,0.9524402
452,3.5056136,0.4909259,0.90797687
453,3.0829506,0.7138768,0.8653118
454,4.390681,0.31886384,0.9447944
455,3.6585498,0.44073007,0.91758764
456,4.881036,0.34692723,0.93583864
457,4.6839576,0.6717203,0.8822944
458,3.9807746,0.4325201,0.9138958
459,3.3671188,0.42900842,0.9183975
460,4.3927255,0.3981662,0.92906225
461,3.9626827,0.6821978,0.864228
462,4.046923,0.44145283,0.9128894
463,3.9942489,0.40152144,0.92422706
464,4.475955,0.6763141,0.8875286
465,3.5457997,0.36423633,0.93499905
466,3.5064716,0.5813601,0.8851348
467,3.1509047,0.5845202,0.8789539
468,3.8959413,0.43572202,0.921738
469,3.9062524,0.35466337,0.92889553
470,3.2491772,0.6181374,0.8800376
471,4.4666286,0.87128323,0.8762683
472,5.6321187,0.9422165,0.85649294
473,4.320032,0.8935569,0.8812881
474,3.918586,1.0865177,0.8684558
475,5.2554665,0.624994,0.8968357
476,5.146128,1.3399152,0.8287979
477,3.0188544,0.6707104,0.87748903
478,3.3745825,0.43511268,0.92265505
479,3.4037843,0.53326744,0.89206004
480,3.1358528,0.66656107,0.87388647
481,3.6508098,0.6849109,0.866199
482,6.07504,0.5887701,0.89715725
483,7.991869,0.7426288,0.90947145
484,7.563621,0.58201075,0.9180164
485,5.3477197,0.75628895,0.880907
486,3.746133,1.1111771,0.8614234
487,6.3986754,0.768773,0.8863555
488,7.815133,0.6978282,0.90060496
489,5.443071,0.297168,0.94487184
490,4.283397,0.5412782,0.8997654
491,3.363958,0.36466312,0.93220633
492,3.01438,0.5345027,0.9107517
493,3.4730814,0.4489711,0.91993976
494,3.294684,0.6780576,0.86639553
495,4.413963,0.46699843,0.9100669
496,3.637298,0.5315887,0.9036121
497,3.1538222,0.44255012,0.91655153
498,3.131383,0.35064563,0.93744045
499,2.8275192,0.6927572,0.87787014
500,4.1811523,0.64044183,0.8854087
